Name of City,State,Population (2011)
Rajgarh (Churu),Rajasthan,"51,640"
Sattenapalle,Andhra Pradesh,"51,404"
Arsikere,Karnataka,"51,336"
Ozar,Maharashtra,"51,297"
Thirumangalam,Tamil Nadu,"51,194"
Petlad,Gujarat,"51,147"
Nasirabad,Rajasthan,"50,804"
Phaltan,Maharashtra,"50,800"
Rampurhat,West Bengal,"50,613"
Nanjangud,Karnataka,"50,598"
Forbesganj,Bihar,"50,475"
Tundla,Uttar Pradesh,"50,423"
BhabUrban Agglomeration,Bihar,"50,179"
Sagara,Karnataka,"50,131"
Pithapuram,Andhra Pradesh,"50,103"
Sira,Karnataka,"50,088"
Bhadrachalam,Telangana,"50,087"
Charkhi Dadri,Haryana,"49,985"
Chatra,Jharkhand,"49,985"
Palasa Kasibugga,Andhra Pradesh,"49,899"
Nohar,Rajasthan,"49,835"
Yevla,Maharashtra,"49,826"
Sirhind Fatehgarh Sahib,Punjab,"49,825"
Bhainsa,Telangana,"49,764"
Parvathipuram,Andhra Pradesh,"49,714"
Shahade,Maharashtra,"49,696"
Chalakudy,Kerala,"49,525"
Narkatiaganj,Bihar,"49,507"
Kapadvanj,Gujarat,"49,308"
Macherla,Andhra Pradesh,"49,221"
Raghogarh-Vijaypur,Madhya Pradesh,"49,173"
Rupnagar,Punjab,"49,159"
Naugachhia,Bihar,"49,069"
Sendhwa,Madhya Pradesh,"48,941"
Byasanagar,Odisha,"48,911"
Sandila,Uttar Pradesh,"48,899"
Gooty,Andhra Pradesh,"48,658"
Salur,Andhra Pradesh,"48,354"
Nanpara,Uttar Pradesh,"48,337"
Sardhana,Uttar Pradesh,"48,314"
Vita,Maharashtra,"48,289"
Gumia,Jharkhand,"48,141"
Puttur,Karnataka,"48,070"
Jalandhar Cantt.,Punjab,"47,845"
Nehtaur,Uttar Pradesh,"47,834"
Changanassery,Kerala,"47,685"
Mandapeta,Andhra Pradesh,"47,638"
Dumka,Jharkhand,"47,584"
Seohara,Uttar Pradesh,"47,575"
Umarkhed,Maharashtra,"47,458"
Madhupur,Jharkhand,"47,326"
Vikramasingapuram,Tamil Nadu,"47,241"
Punalur,Kerala,"47,235"
Kendrapara,Odisha,"47,006"
Sihor,Gujarat,"46,960"
Nellikuppam,Tamil Nadu,"46,678"
Samana,Punjab,"46,592"
Warora,Maharashtra,"46,532"
Nilambur,Kerala,"46,366"
Rasipuram,Tamil Nadu,"46,330"
Ramnagar,Uttarakhand,"46,205"
Jammalamadugu,Andhra Pradesh,"46,069"
Nawanshahr,Punjab,"46,024"
Thoubal,Manipur,"45,947"
Athni,Karnataka,"45,858"
Cherthala,Kerala,"45,827"
Sidhi,Madhya Pradesh,"45,700"
Farooqnagar,Telangana,"45,675"
Peddapuram,Andhra Pradesh,"45,520"
Chirkunda,Jharkhand,"45,508"
Pachora,Maharashtra,"45,333"
Madhepura,Bihar,"45,031"
Pithoragarh,Uttarakhand,"44,964"
Tumsar,Maharashtra,"44,869"
Phalodi,Rajasthan,"44,868"
Tiruttani,Tamil Nadu,"44,781"
Rampura Phul,Punjab,"44,665"
Perinthalmanna,Kerala,"44,612"
Padrauna,Uttar Pradesh,"44,383"
Pipariya,Madhya Pradesh,"44,378"
Dalli-Rajhara,Chhattisgarh,"44,363"
Punganur,Andhra Pradesh,"44,314"
Mattannur,Kerala,"44,313"
Mathura,Uttar Pradesh,"44,313"
Thakurdwara,Uttar Pradesh,"44,255"
Nandivaram-Guduvancheri,Tamil Nadu,"44,098"
Mulbagal,Karnataka,"44,033"
Manjlegaon,Maharashtra,"44,029"
Wankaner,Gujarat,"43,881"
Sillod,Maharashtra,"43,867"
Nidadavole,Andhra Pradesh,"43,809"
Surapura,Karnataka,"43,622"
Rajagangapur,Odisha,"43,594"
Sheikhpura,Bihar,"43,113"
Parlakhemundi,Odisha,"43,097"
Kalimpong,West Bengal,"42,998"
Siruguppa,Karnataka,"42,919"
Arvi,Maharashtra,"42,822"
Limbdi,Gujarat,"42,769"
Barpeta,Assam,"42,649"
Manglaur,Uttarakhand,"42,584"
Repalle,Andhra Pradesh,"42,539"
Mudhol,Karnataka,"42,461"
Shujalpur,Madhya Pradesh,"42,461"
Mandvi,Gujarat,"42,355"
Thangadh,Gujarat,"42,351"
Sironj,Madhya Pradesh,"42,179"
Nandura,Maharashtra,"42,167"
Shoranur,Kerala,"42,029"
Nathdwara,Rajasthan,"42,016"
Periyakulam,Tamil Nadu,"42,012"
Sultanganj,Bihar,"41,958"
Medak,Telangana,"41,945"
Narayanpet,Telangana,"41,752"
Raxaul Bazar,Bihar,"41,610"
Rajauri,Jammu and Kashmir,"41,552"
Pernampattu,Tamil Nadu,"41,499"
Nainital,Uttarakhand,"41,377"
Ramachandrapuram,Andhra Pradesh,"41,370"
Vaijapur,Maharashtra,"41,296"
Nangal,Punjab,"41,172"
Sidlaghatta,Karnataka,"41,098"
Punch,Jammu and Kashmir,"40,987"
Pandhurna,Madhya Pradesh,"40,931"
Wadgaon Road,Maharashtra,"40,884"
Talcher,Odisha,"40,841"
Varkala,Kerala,"40,728"
Pilani,Rajasthan,"40,590"
Nowgong,Madhya Pradesh,"40,580"
Naila Janjgir,Chhattisgarh,"40,561"
Mapusa,Goa,"40,487"
Vellakoil,Tamil Nadu,"40,359"
Merta City,Rajasthan,"40,252"
Sivaganga,Tamil Nadu,"40,220"
Mandideep,Madhya Pradesh,"39,859"
Sailu,Maharashtra,"39,851"
Vyara,Gujarat,"39,789"
Kovvur,Andhra Pradesh,"39,667"
Vadalur,Tamil Nadu,"39,514"
Nawabganj,Uttar Pradesh,"39,241"
Padra,Gujarat,"39,205"
Sainthia,West Bengal,"39,145"
Siana,Uttar Pradesh,"38,999"
Shahpur,Karnataka,"38,907"
Sojat,Rajasthan,"38,883"
Noorpur,Uttar Pradesh,"38,806"
Paravoor,Kerala,"38,652"
Murtijapur,Maharashtra,"38,554"
Ramnagar,Bihar,"38,554"
Sundargarh,Odisha,"38,421"
Taki,West Bengal,"38,263"
Saundatti-Yellamma,Karnataka,"38,155"
Pathanamthitta,Kerala,"38,009"
Wadi,Karnataka,"37,988"
Rameshwaram,Tamil Nadu,"37,968"
Tasgaon,Maharashtra,"37,945"
Sikandra Rao,Uttar Pradesh,"37,938"
Sihora,Madhya Pradesh,"37,870"
Tiruvethipuram,Tamil Nadu,"37,802"
Tiruvuru,Andhra Pradesh,"37,802"
Mehkar,Maharashtra,"37,715"
Peringathur,Kerala,"37,699"
Perambalur,Tamil Nadu,"37,631"
Manvi,Karnataka,"37,613"
Zunheboto,Nagaland,"37,447"
Mahnar Bazar,Bihar,"37,370"
Attingal,Kerala,"37,346"
Shahbad,Haryana,"37,289"
Puranpur,Uttar Pradesh,"37,233"
Nelamangala,Karnataka,"37,232"
Nakodar,Punjab,"36,973"
Lunawada,Gujarat,"36,954"
Murshidabad,West Bengal,"36,947"
Mahe,Puducherry,"36,828"
Lanka,Assam,"36,805"
Rudauli,Uttar Pradesh,"36,776"
Tuensang,Nagaland,"36,774"
Lakshmeshwar,Karnataka,"36,754"
Zira,Punjab,"36,732"
Yawal,Maharashtra,"36,706"
Thana Bhawan,Uttar Pradesh,"36,669"
Ramdurg,Karnataka,"36,649"
Pulgaon,Maharashtra,"36,522"
Sadasivpet,Telangana,"36,334"
Nargund,Karnataka,"36,291"
Neem-Ka-Thana,Rajasthan,"36,231"
Memari,West Bengal,"36,207"
Nilanga,Maharashtra,"36,172"
Naharlagun,Arunachal Pradesh,"36,158"
Pakaur,Jharkhand,"36,029"
Wai,Maharashtra,"36,025"
Tarikere,Karnataka,"35,942"
Malavalli,Karnataka,"35,851"
Raisen,Madhya Pradesh,"35,702"
Lahar,Madhya Pradesh,"35,674"
Uravakonda,Andhra Pradesh,"35,565"
Savanur,Karnataka,"35,563"
Sirohi,Rajasthan,"35,544"
Udhampur,Jammu and Kashmir,"35,507"
Umarga,Maharashtra,"35,477"
Pratapgarh,Rajasthan,"35,422"
Lingsugur,Karnataka,"35,411"
Usilampatti,Tamil Nadu,"35,219"
Palia Kalan,Uttar Pradesh,"35,029"
Wokha,Nagaland,"35,004"
Rajpipla,Gujarat,"34,923"
Vijayapura,Karnataka,"34,866"
Rawatbhata,Rajasthan,"34,690"
Sangaria,Rajasthan,"34,537"
Paithan,Maharashtra,"34,518"
Rahuri,Maharashtra,"34,476"
Patti,Punjab,"34,444"
Zaidpur,Uttar Pradesh,"34,443"
Lalsot,Rajasthan,"34,363"
Maihar,Madhya Pradesh,"34,342"
Vedaranyam,Tamil Nadu,"34,266"
Nawapur,Maharashtra,"34,207"
Solan,Himachal Pradesh,"34,206"
Vapi,Gujarat,"34,162"
Sanawad,Madhya Pradesh,"34,114"
Warisaliganj,Bihar,"34,056"
Revelganj,Bihar,"34,042"
Sabalgarh,Madhya Pradesh,"34,039"
Tuljapur,Maharashtra,"34,011"
Simdega,Jharkhand,"33,981"
Musabani,Jharkhand,"33,980"
Kodungallur,Kerala,"33,935"
Phulabani,Odisha,"33,890"
Umreth,Gujarat,"33,762"
Narsipatnam,Andhra Pradesh,"33,757"
Nautanwa,Uttar Pradesh,"33,753"
Rajgir,Bihar,"33,738"
Yellandu,Telangana,"33,732"
Sathyamangalam,Tamil Nadu,"33,722"
Pilibanga,Rajasthan,"33,608"
Morshi,Maharashtra,"33,607"
Pehowa,Haryana,"33,564"
Sonepur,Bihar,"33,490"
Pappinisseri,Kerala,"33,273"
Zamania,Uttar Pradesh,"33,243"
Mihijam,Jharkhand,"33,236"
Purna,Maharashtra,"33,225"
Puliyankudi,Tamil Nadu,"33,187"
"Shikarpur, Bulandshahr",Uttar Pradesh,"33,187"
Umaria,Madhya Pradesh,"33,114"
Porsa,Madhya Pradesh,"33,103"
Naugawan Sadat,Uttar Pradesh,"32,954"
Fatehpur Sikri,Uttar Pradesh,"32,905"
Manuguru,Telangana,"32,893"
Udaipur,Tripura,"32,758"
Pipar City,Rajasthan,"32,735"
Pattamundai,Odisha,"32,730"
Nanjikottai,Tamil Nadu,"32,689"
Taranagar,Rajasthan,"32,640"
Yerraguntla,Andhra Pradesh,"32,574"
Satana,Maharashtra,"32,561"
Sherghati,Bihar,"32,526"
Sankeshwara,Karnataka,"32,511"
Madikeri,Karnataka,"32,496"
Thuraiyur,Tamil Nadu,"32,439"
Sanand,Gujarat,"32,417"
Rajula,Gujarat,"32,395"
Kyathampalle,Telangana,"32,385"
"Shahabad, Rampur",Uttar Pradesh,"32,370"
Tilda Newra,Chhattisgarh,"32,331"
Narsinghgarh,Madhya Pradesh,"32,329"
Chittur-Thathamangalam,Kerala,"32,298"
Malaj Khand,Madhya Pradesh,"32,296"
Sarangpur,Madhya Pradesh,"32,294"
Robertsganj,Uttar Pradesh,"32,243"
Sirkali,Tamil Nadu,"32,228"
Radhanpur,Gujarat,"32,191"
Tiruchendur,Tamil Nadu,"32,171"
Utraula,Uttar Pradesh,"32,145"
Patratu,Jharkhand,"32,134"
"Vijainagar, Ajmer",Rajasthan,"32,124"
Periyasemur,Tamil Nadu,"32,024"
Pathri,Maharashtra,"32,001"
Sadabad,Uttar Pradesh,"31,742"
Talikota,Karnataka,"31,693"
Sinnar,Maharashtra,"31,630"
Mungeli,Chhattisgarh,"31,613"
Sedam,Karnataka,"31,539"
Shikaripur,Karnataka,"31,516"
Sumerpur,Rajasthan,"31,482"
Sattur,Tamil Nadu,"31,443"
Sugauli,Bihar,"31,432"
Lumding,Assam,"31,347"
Vandavasi,Tamil Nadu,"31,320"
Titlagarh,Odisha,"31,258"
Uchgaon,Maharashtra,"31,238"
Mokokchung,Nagaland,"31,214"
Paschim Punropara,West Bengal,"31,198"
Sagwara,Rajasthan,"31,127"
Ramganj Mandi,Rajasthan,"30,973"
Tarakeswar,West Bengal,"30,947"
Mahalingapura,Karnataka,"30,858"
Dharmanagar,Tripura,"30,785"
Mahemdabad,Gujarat,"30,768"
Manendragarh,Chhattisgarh,"30,758"
Uran,Maharashtra,"30,439"
Tharamangalam,Tamil Nadu,"30,222"
Tirukkoyilur,Tamil Nadu,"30,212"
Pen,Maharashtra,"30,201"
Makhdumpur,Bihar,"30,109"
Maner,Bihar,"30,082"
Oddanchatram,Tamil Nadu,"30,064"
Palladam,Tamil Nadu,"30,016"
Mundi,Madhya Pradesh,"30,000"
Nabarangapur,Odisha,"29,960"
Mudalagi,Karnataka,"29,893"
Samalkha,Haryana,"29,866"
Nepanagar,Madhya Pradesh,"29,682"
Karjat,Maharashtra,"29,663"
Ranavav,Gujarat,"29,645"
Pedana,Andhra Pradesh,"29,613"
Pinjore,Haryana,"29,609"
Lakheri,Rajasthan,"29,572"
Pasan,Madhya Pradesh,"29,565"
Puttur,Andhra Pradesh,"29,436"
Vadakkuvalliyur,Tamil Nadu,"29,417"
Tirukalukundram,Tamil Nadu,"29,391"
Mahidpur,Madhya Pradesh,"29,379"
Mussoorie,Uttarakhand,"29,329"
Muvattupuzha,Kerala,"29,246"
Rasra,Uttar Pradesh,"29,238"
Udaipurwati,Rajasthan,"29,236"
Manwath,Maharashtra,"29,218"
Adoor,Kerala,"29,171"
Uthamapalayam,Tamil Nadu,"29,050"
Partur,Maharashtra,"29,012"
Nahan,Himachal Pradesh,"28,899"
Ladwa,Haryana,"28,887"
Mankachar,Assam,"28,780"
Nongstoin,Meghalaya,"28,742"
Losal,Rajasthan,"28,504"
Sri Madhopur,Rajasthan,"28,492"
Ramngarh,Rajasthan,"28,458"
Mavelikkara,Kerala,"28,439"
Rawatsar,Rajasthan,"28,387"
Rajakhera,Rajasthan,"28,349"
Lar,Uttar Pradesh,"28,307"
Lal Gopalganj Nindaura,Uttar Pradesh,"28,288"
Muddebihal,Karnataka,"28,219"
Sirsaganj,Uttar Pradesh,"28,212"
Shahpura,Rajasthan,"28,174"
Surandai,Tamil Nadu,"28,146"
Sangole,Maharashtra,"28,116"
Pavagada,Karnataka,"28,068"
Tharad,Gujarat,"27,954"
Mansa,Gujarat,"27,922"
Umbergaon,Gujarat,"27,859"
Mavoor,Kerala,"27,845"
Nalbari,Assam,"27,839"
Talaja,Gujarat,"27,822"
Malur,Karnataka,"27,815"
Mangrulpir,Maharashtra,"27,815"
Soro,Odisha,"27,794"
Shahpura,Rajasthan,"27,792"
Vadnagar,Gujarat,"27,790"
Raisinghnagar,Rajasthan,"27,736"
Sindhagi,Karnataka,"27,732"
Sanduru,Karnataka,"27,614"
Sohna,Haryana,"27,570"
Manavadar,Gujarat,"27,563"
Pihani,Uttar Pradesh,"27,545"
Safidon,Haryana,"27,541"
Risod,Maharashtra,"27,516"
Rosera,Bihar,"27,492"
Sankari,Tamil Nadu,"27,454"
Malpura,Rajasthan,"27,360"
Sonamukhi,West Bengal,"27,354"
"Shamsabad, Agra",Uttar Pradesh,"27,338"
Nokha,Bihar,"27,302"
PandUrban Agglomeration,West Bengal,"27,161"
Mainaguri,West Bengal,"27,106"
Afzalpur,Karnataka,"27,088"
Shirur,Maharashtra,"26,999"
Salaya,Gujarat,"26,875"
Shenkottai,Tamil Nadu,"26,838"
Pratapgarh,Tripura,"26,837"
Vadipatti,Tamil Nadu,"26,830"
Nagarkurnool,Telangana,"26,801"
Savner,Maharashtra,"26,712"
Sasvad,Maharashtra,"26,689"
Rudrapur,Uttar Pradesh,"26,683"
Soron,Uttar Pradesh,"26,678"
Sholingur,Tamil Nadu,"26,652"
Pandharkaoda,Maharashtra,"26,572"
Perumbavoor,Kerala,"26,547"
Maddur,Karnataka,"26,521"
Nadbai,Rajasthan,"26,411"
Talode,Maharashtra,"26,363"
Shrigonda,Maharashtra,"26,324"
Madhugiri,Karnataka,"26,304"
Tekkalakote,Karnataka,"26,224"
Seoni-Malwa,Madhya Pradesh,"26,202"
Shirdi,Maharashtra,"26,184"
SUrban Agglomerationr,Uttar Pradesh,"26,149"
Terdal,Karnataka,"26,088"
Raver,Maharashtra,"25,993"
Tirupathur,Tamil Nadu,"25,980"
Taraori,Haryana,"25,944"
Mukhed,Maharashtra,"25,933"
Manachanallur,Tamil Nadu,"25,931"
Rehli,Madhya Pradesh,"25,890"
Sanchore,Rajasthan,"25,884"
Rajura,Maharashtra,"25,843"
Piro,Bihar,"25,811"
Mudabidri,Karnataka,"25,713"
Vadgaon Kasba,Maharashtra,"25,651"
Nagar,Rajasthan,"25,572"
Vijapur,Gujarat,"25,558"
Viswanatham,Tamil Nadu,"25,555"
Polur,Tamil Nadu,"25,505"
Panagudi,Tamil Nadu,"25,501"
Manawar,Madhya Pradesh,"25,467"
Tehri,Uttarakhand,"25,423"
Samdhan,Uttar Pradesh,"25,327"
Pardi,Gujarat,"25,275"
Rahatgarh,Madhya Pradesh,"25,215"
Panagar,Madhya Pradesh,"25,199"
Uthiramerur,Tamil Nadu,"25,194"
Tirora,Maharashtra,"25,181"
Rangia,Assam,"25,151"
Sahjanwa,Uttar Pradesh,"25,107"
Wara Seoni,Madhya Pradesh,"25,103"
Magadi,Karnataka,"25,031"
Rajgarh (Alwar),Rajasthan,"25,009"
Rafiganj,Bihar,"24,992"
Tarana,Madhya Pradesh,"24,908"
Rampur Maniharan,Uttar Pradesh,"24,844"
Sheoganj,Rajasthan,"24,789"
Raikot,Punjab,"24,769"
Pauri,Uttarakhand,"24,743"
Sumerpur,Uttar Pradesh,"24,661"
Navalgund,Karnataka,"24,613"
Shahganj,Uttar Pradesh,"24,602"
Marhaura,Bihar,"24,548"
Tulsipur,Uttar Pradesh,"24,488"
Sadri,Rajasthan,"24,413"
Thiruthuraipoondi,Tamil Nadu,"24,404"
Shiggaon,Karnataka,"24,327"
Pallapatti,Tamil Nadu,"24,326"
Mahendragarh,Haryana,"24,323"
Sausar,Madhya Pradesh,"24,312"
Ponneri,Tamil Nadu,"24,309"
Mahad,Maharashtra,"24,276"
Lohardaga,Jharkhand,"24,125"
Tirwaganj,Uttar Pradesh,"24,082"
Margherita,Assam,"24,049"
Sundarnagar,Himachal Pradesh,"23,986"
Rajgarh,Madhya Pradesh,"23,937"
Mangaldoi,Assam,"23,920"
Renigunta,Andhra Pradesh,"23,862"
Longowal,Punjab,"23,851"
Ratia,Haryana,"23,826"
Lalgudi,Tamil Nadu,"23,740"
Shrirangapattana,Karnataka,"23,729"
Niwari,Madhya Pradesh,"23,724"
Natham,Tamil Nadu,"23,660"
Unnamalaikadai,Tamil Nadu,"23,656"
PurqUrban Agglomerationzi,Uttar Pradesh,"23,599"
"Shamsabad, Farrukhabad",Uttar Pradesh,"23,596"
Mirganj,Bihar,"23,576"
Todaraisingh,Rajasthan,"23,559"
Warhapur,Uttar Pradesh,"23,456"
Rajam,Andhra Pradesh,"23,424"
Urmar Tanda,Punjab,"23,419"
Lonar,Maharashtra,"23,416"
Powayan,Uttar Pradesh,"23,406"
P.N.Patti,Tamil Nadu,"23,331"
Palampur,Himachal Pradesh,"23,331"
Srisailam Project (Right Flank Colony) Township,Andhra Pradesh,"23,273"
Sindagi,Karnataka,"23,234"
Sandi,Uttar Pradesh,"23,234"
Vaikom,Kerala,"23,234"
Malda,West Bengal,"23,218"
Tharangambadi,Tamil Nadu,"23,191"
Sakaleshapura,Karnataka,"23,176"
Lalganj,Bihar,"23,124"
Malkangiri,Odisha,"23,114"
Rapar,Gujarat,"23,057"
Mauganj,Madhya Pradesh,"23,024"
Todabhim,Rajasthan,"22,977"
Srinivaspur,Karnataka,"22,959"
Murliganj,Bihar,"22,936"
Reengus,Rajasthan,"22,932"
Sawantwadi,Maharashtra,"22,901"
Tittakudi,Tamil Nadu,"22,894"
Lilong,Manipur,"22,888"
Rajaldesar,Rajasthan,"22,836"
Pathardi,Maharashtra,"22,827"
Achhnera,Uttar Pradesh,"22,781"
Pacode,Tamil Nadu,"22,781"
Naraura,Uttar Pradesh,"22,775"
Nakur,Uttar Pradesh,"22,712"
Palai,Kerala,"22,640"
"Morinda, India",Punjab,"22,635"
Manasa,Madhya Pradesh,"22,623"
Nainpur,Madhya Pradesh,"22,607"
Sahaspur,Uttar Pradesh,"22,606"
Pauni,Maharashtra,"22,587"
Prithvipur,Madhya Pradesh,"22,535"
Ramtek,Maharashtra,"22,516"
Silapathar,Assam,"22,516"
Songadh,Gujarat,"22,431"
Safipur,Uttar Pradesh,"22,378"
Sohagpur,Madhya Pradesh,"22,339"
Mul,Maharashtra,"22,330"
Sadulshahar,Rajasthan,"22,326"
Phillaur,Punjab,"22,302"
Sambhar,Rajasthan,"22,293"
Prantij,Rajasthan,"22,282"
Nagla,Uttarakhand,"22,258"
Pattran,Punjab,"22,175"
Mount Abu,Rajasthan,"22,152"
Reoti,Uttar Pradesh,"22,082"
Tenu dam-cum-Kathhara,Jharkhand,"22,080"
Panchla,West Bengal,"22,051"
Sitarganj,Uttarakhand,"22,027"
Pasighat,Arunachal Pradesh,"21,965"
Motipur,Bihar,"21,957"
O' Valley,Tamil Nadu,"21,943"
Raghunathpur,West Bengal,"21,932"
Suriyampalayam,Tamil Nadu,"21,923"
Qadian,Punjab,"21,899"
Rairangpur,Odisha,"21,896"
Silvassa,Dadra and Nagar Haveli,"21,893"
Nowrozabad (Khodargama),Madhya Pradesh,"21,883"
Mangrol,Rajasthan,"21,842"
Soyagaon,Maharashtra,"21,819"
Sujanpur,Punjab,"21,815"
Manihari,Bihar,"21,803"
Sikanderpur,Uttar Pradesh,"21,783"
Mangalvedhe,Maharashtra,"21,706"
Phulera,Rajasthan,"21,643"
Ron,Karnataka,"21,643"
Sholavandan,Tamil Nadu,"21,638"
Saidpur,Uttar Pradesh,"21,568"
Shamgarh,Madhya Pradesh,"21,507"
Thammampatti,Tamil Nadu,"21,503"
Maharajpur,Madhya Pradesh,"21,490"
Multai,Madhya Pradesh,"21,423"
Mukerian,Punjab,"21,384"
Sirsi,Uttar Pradesh,"21,373"
Purwa,Uttar Pradesh,"21,271"
Sheohar,Bihar,"21,262"
Namagiripettai,Tamil Nadu,"21,250"
Parasi,Uttar Pradesh,"21,206"
Lathi,Gujarat,"21,173"
Lalganj,Uttar Pradesh,"21,142"
Narkhed,Maharashtra,"21,127"
Mathabhanga,West Bengal,"21,107"
Shendurjana,Maharashtra,"21,083"
Peravurani,Tamil Nadu,"21,045"
Mariani,Assam,"20,997"
Phulpur,Uttar Pradesh,"20,986"
Rania,Haryana,"20,961"
Pali,Madhya Pradesh,"20,942"
Pachore,Madhya Pradesh,"20,939"
Parangipettai,Tamil Nadu,"20,912"
Pudupattinam,Tamil Nadu,"20,901"
Panniyannur,Kerala,"20,863"
Maharajganj,Bihar,"20,860"
Rau,Madhya Pradesh,"20,855"
Monoharpur,West Bengal,"20,846"
Mandawa,Rajasthan,"20,830"
Marigaon,Assam,"20,811"
Pallikonda,Tamil Nadu,"20,771"
Pindwara,Rajasthan,"20,765"
Shishgarh,Uttar Pradesh,"20,684"
Patur,Maharashtra,"20,538"
Mayang Imphal,Manipur,"20,532"
Mhowgaon,Madhya Pradesh,"20,523"
Guruvayoor,Kerala,"20,510"
Mhaswad,Maharashtra,"20,500"
Sahawar,Uttar Pradesh,"20,470"
Sivagiri,Tamil Nadu,"20,380"
Mundargi,Karnataka,"20,363"
Punjaipugalur,Tamil Nadu,"20,309"
Kailasahar,Tripura,"20,279"
Samthar,Uttar Pradesh,"20,217"
Sakti,Chhattisgarh,"20,213"
Sadalagi,Karnataka,"20,202"
Silao,Bihar,"20,177"
Mandalgarh,Rajasthan,"20,169"
Loha,Maharashtra,"20,148"
Pukhrayan,Uttar Pradesh,"20,107"
Padmanabhapuram,Tamil Nadu,"20,075"
Belonia,Tripura,"19,996"
Saiha,Mizoram,"19,731"
Srirampore,West Bengal,19500
Talwara,Punjab,"19,485"
Puthuppally,Kerala,"18,850"
Khowai,Tripura,"18,526"
Vijaypur,Madhya Pradesh,"16,964"
Takhatgarh,Rajasthan,"16,729"
Thirupuvanam,Tamil Nadu,"14,989"
Adra,West Bengal,"14,956"
Piriyapatna,Karnataka,"14,924"
Obra,Uttar Pradesh,"14,786"
Adalaj,Gujarat,"11,957"
Nandgaon,Maharashtra,"11,517"
Barh,Bihar,"10,803"
Chhapra,Gujarat,"10,147"
Panamattom,Kerala,"10,032"
Niwai,Uttar Pradesh,"9,205"
Bageshwar,Uttarakhand,"9,079"
Tarbha,Odisha,"8,334"
Adyar,Karnataka,"7,034"
Narsinghgarh,Madhya Pradesh,"6,735"
Warud,Maharashtra,"6,386"
Asarganj,Bihar,"6,327"
Sarsod,Haryana,"4,630"
